record_id,资源ID,模型ID,鱼种,标准学名,英文名,最喜欢的温度(°C),候选水温带,资料水温下限(°C),资料水温上限(°C),对温度变化的容忍系数,水温接受阈值,FG推荐结构体,环境类型,栖息带类型,时段偏好,period0_3,period3_6,period6_9,period9_12,period12_15,period15_18,period18_21,period21_24,候选水层,表层亲和系数,中层亲和系数,底层亲和系数,深度上限(m),深度下限(m),真饵类型,拟饵类型,候选饵食性,摄食类型
recvq6YNcI6W57,icon_placeholder_0001_2D,#N/A,鳞鲤(人面鲤),Cyprinus Carpio Var. Human Face,Human Face Scale Carp,19,温水,3,35,8,0.1,水草|沉木|湾子|泥底|浅滩|芦苇|入水口|沙底,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,4,10,29,0,种子|昆虫|甲壳|鱼饵|鱼卵|面团|谷物|饵鱼,,杂食性,
recvq6YNcIcoaF,icon_placeholder_0001_2D,#N/A,鳞鲤(白化),Cyprinus Carpio Var. Albino,Albino Scale Carp,19,温水,3,35,8,0.1,水草|沉木|湾子|泥底|浅滩|芦苇|入水口|沙底,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,4,10,29,0,种子|昆虫|甲壳|鱼饵|鱼卵|面团|谷物|饵鱼,,杂食性,
recvq6YNcIQCn3,icon_placeholder_0001_2D,#N/A,黑口红点鲑,Salvelinus Confluentus,Blackmouth Salmon,15,冷水,11,19,8,0.1,开放水域|石头|深坑|断层|碎石底|入水口,淡水|半咸水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,,昆虫|甲壳|鱼饵|饵鱼,软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,
recvq6YNcIUhsG,icon_placeholder_0001_2D,#N/A,大西洋大比目鱼,Hippoglossus Hippoglossus,Atlantic Halibut,3.4,温水,2.4,4.4,8,0.1,开放水域|深坑|断层|泥底|沙洲|沙底,海水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,2000,50,甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcIxqFV,icon_placeholder_0001_2D,#N/A,大西洋鲱鱼,Clupea Harengus,Atlantic Herringy,9.5,冷水,1,18,4.25,0.1,开放水域|深坑|断层,半咸水|海水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,364,0,种子|甲壳|鱼饵|鱼卵|谷物|肉饵|饵鱼|内脏,T尾|卷尾|软虫|米诺|VIB,滤食性,selective plankton feeding
recvq6YNcI7jPP,icon_placeholder_0001_2D,#N/A,大西洋鳕鱼,Gadus Morhua,Atlantic Cod,7.5,冷水,0,15,3.75,0.1,开放水域|石头|深坑|断层|岩架|碎石底|暗岛,半咸水|海水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,600,0,种子|昆虫|甲壳|鱼饵|鱼卵|谷物|肉饵|饵鱼|内脏,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcI0x5F,icon_placeholder_0001_2D,#N/A,女巫鲽,Glyptocephalus Cynoglossus,Witch Flounder,4,冷水,2,6,1,0.1,开放水域|深坑|断层|泥底|沙洲|沙底,海水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,1570,18,甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|VIB,温和肉食性,hunting macrofauna (predator)
recvq6YNcIzusj,icon_placeholder_0001_2D,#N/A,彩虹镖鲈,Etheostoma Caeruleum,Rainbow Darter,11,冷水,4,18,3.5,0.1,石头|深坑|断层|岩架|碎石底|暗岛,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,,昆虫|甲壳|鱼饵|鱼卵,T尾|卷尾|软虫|米诺|勺子亮片|VIB,温和肉食性,hunting macrofauna (predator)
recvq6YNcIsFRn,icon_placeholder_0001_2D,#N/A,欧鲢,Squalius Cephalus,Common Chub,12,冷水,4,20,4,0.1,开放水域|石头|湾子|碎石底|浅滩|入水口,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,0,种子|昆虫|甲壳|鱼饵|面团|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,杂食性,variable
recvq6YNcI6qP9,icon_placeholder_0001_2D,#N/A,毛鳞鱼,Mallotus Villosus,Capelin,2.7,冷水,1.7,3.7,4,0.1,开放水域|石头|深坑|断层|岩架|碎石底|暗岛,淡水|半咸水|海水,pelagic-oceanic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,725,0,甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|VIB,滤食性,selective plankton feeding
recvq6YNcIURTm,icon_placeholder_0001_2D,#N/A,海七鳃鳗,Petromyzon Marinus,Petromyzon Marinus,10.3,广温,0.6,20,4.85,0.1,石头|沉木|深坑|湾子|泥底|碎石底|入水口|出水口,淡水|半咸水|海水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,4099,1,种子|甲壳|鱼饵|谷物|饵鱼,,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcI2VjG,icon_placeholder_0001_2D,#N/A,湖红点鲑,Salvelinus Namaycush,Lake Trout,8.5,冷水,4,13,2.25,0.1,开放水域|石头|深坑|断层|碎石底|入水口,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,表层|中下层|底层,10,7,10,61,3,种子|昆虫|甲壳|鱼饵|谷物|肉饵|饵鱼|内脏,软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcIyeHV,icon_placeholder_0001_2D,#N/A,牛头鲦,Pimephales Vigilax,Bullhead Minnow,22,温水,17,27,6,0.1,开放水域|石头|湾子|碎石底|浅滩|入水口,淡水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,昆虫|鱼饵,,杂食性,
recvq6YNcIQa4t,icon_placeholder_0001_2D,#N/A,绿青鳕,Pollachius Virens,Pollachius Virens,7,温水,5,9,8,0.1,开放水域|石头|深坑|断层|岩架|碎石底|暗岛,海水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,364,37,种子|昆虫|甲壳|鱼饵|鱼卵|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcIAedj,icon_placeholder_0001_2D,#N/A,虎纹梭鱼,E. Lucius × E. Masquinongy,Tiger Muskellunge,17,温水,10,24,3.5,0.1,开放水域|水草|沉木|深坑|断层|湾子|浅滩|芦苇,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中上层|中层,7,10,4,,,种子|昆虫|甲壳|鱼饵|面团|谷物,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,
recvq6YNcIxdGw,icon_placeholder_0001_2D,#N/A,虎纹鳟鱼,Salmo Trutta × Salvelinus Fontinalis,Tiger Trout,21,暖水,18,24,1.5,0.1,开放水域|石头|深坑|断层|碎石底|旋涡|入水口|出水口,海水,reef-associated,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,表层|中下层|底层,10,7,10,100,4,甲壳|饵鱼,T尾|卷尾|软虫|虾管|米诺|勺子亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcIViHN,icon_placeholder_0001_2D,#N/A,赤稍雅罗鱼,Leuciscus Aspius,Asp,12,冷水,4,20,4,0.1,开放水域|石头|湾子|碎石底|浅滩|入水口,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,10,甲壳|肉饵|饵鱼|内脏,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcI6UhU,icon_placeholder_0001_2D,#N/A,金眼鱼,Hiodon Alosoides,Goldeye,15,温水,11,19,8,0.1,开放水域,淡水,pelagic,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,中上层|中层,7,10,4,,,昆虫|甲壳|鱼饵|肉饵|饵鱼|内脏,T尾|卷尾|软虫|米诺|VIB,温和肉食性,
recvq6YNcI0jrY,icon_placeholder_0001_2D,#N/A,金鲫,Carassius Carassius,Crucian Carp,12,广温,2,22,5,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,淡水|半咸水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,表层|底层,10,4,10,20,5,昆虫|甲壳|鱼饵,,杂食性,hunting macrofauna (predator)
recvq6YNcI5zDu,icon_placeholder_0001_2D,#N/A,银鲫,Carassius Gibelio,Prussian Carp,15,温水,10,20,2.5,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,0,种子|面团|谷物,,植食性,grazing on aquatic plants
recvq6YNcItX2T,icon_placeholder_0001_2D,#N/A,黑线鳕,Melanogrammus Aeglefinus,Haddock,8.4,冷水,6.4,10.4,8,0.1,开放水域|石头|深坑|断层|岩架|碎石底|暗岛,海水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,450,10,种子|昆虫|甲壳|鱼饵|鱼卵|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,温和肉食性,hunting macrofauna (predator)
recvq6YNcIGHfu,icon_placeholder_0001_2D,#N/A,黑鼓鱼,Pogonias Cromis,Black Drum,23.5,温水,18.5,28.5,6,0.1,深坑|断层|湾子|泥底|码头|入水口|沙底,半咸水|海水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,10,甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|虾管|米诺|勺子亮片|VIB,温和肉食性,hunting macrofauna (predator)
recvq6YNcIUKhd,icon_placeholder_0001_2D,#N/A,鼠鲨,Lamna Nasus,Porbeagle,11,温水,-1,23,6,0.1,开放水域|尖脊|断层|崖壁|入水口|暗岛,海水,pelagic-oceanic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,1360,0,甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcIs3Nd,icon_placeholder_0001_2D,#N/A,白条鱼,Hemiculter Leucisculus,Sharpbelly,20,温水,18,22,1,0.1,开放水域|石头|湾子|碎石底|浅滩|入水口,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,10,0,种子|昆虫|甲壳|面团|谷物,,杂食性,variable
recvq6YNcIpdRI,icon_placeholder_0001_2D,#N/A,中华倒刺鲃,Spinibarbus Sinensis,Spinibarbus Sinensis,22,温水,17,27,6,0.1,石头|深坑|碎石底|浅滩|入水口|沙底,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,种子|昆虫|面团|谷物,,杂食性,variable
recvq6YNcIwdwg,icon_placeholder_0001_2D,#N/A,俄罗斯鲟,Acipenser Gueldenstaedtii,Russian Sturgeon,15,温水,10,20,2.5,0.1,开放水域|深坑|断层|泥底|碎石底|入水口|出水口|沙底,淡水|半咸水|海水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,表层|底层,10,4,10,100,2,甲壳|鱼饵|饵鱼,,温和肉食性,hunting macrofauna (predator)
recvq6YNcIPWKl,icon_placeholder_0001_2D,#N/A,光倒刺鲃,Spinibarbus Hollandi,Spinibarbus Hollandi,22,温水,17,27,6,0.1,石头|深坑|碎石底|浅滩|入水口|沙底,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,表层|中下层|底层,10,7,10,30,2,昆虫|甲壳|饵鱼,T尾|卷尾|软虫|米诺|VIB,杂食性,
recvq6YNcI2GbT,icon_placeholder_0001_2D,#N/A,六须鲶,Silurus Soldatovi,Soldatov's Catfish,15,广温,5,25,5,0.1,沉木|深坑|断层|湾子|泥底|入水口,淡水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,,,饵鱼,T尾|卷尾|软虫|VIB|嘈杂饵,凶猛肉食性,
recvq6YNcIrLRm,icon_placeholder_0001_2D,#N/A,准白甲鱼,"Onychostoma simum (Sauvage & Dabry de Thiersant, 1874)",Onychostoma Simum,22,温水,17,27,6,0.1,石头|深坑|碎石底|浅滩|入水口|沙底,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,鱼饵|饵鱼,,植食性,
recvq6YNcIULip,icon_placeholder_0001_2D,#N/A,印度鲮,Cirrhinus Mrigala,Mrigal Carp,26,温水,20,32,5,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,淡水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,昆虫|鱼饵,,腐食性,
recvq6YNcINYhI,icon_placeholder_0001_2D,#N/A,哲罗鲑,Hucho Taimen,Siberian Taimen,15,温水,11,19,8,0.1,石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水|半咸水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,,肉饵|饵鱼|内脏,软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcIoRCW,icon_placeholder_0001_2D,#N/A,唇䱻,Hemibarbus Labeo,Hemibarbus Labeo,15,温水,11,19,8,0.1,石头|深坑|碎石底|浅滩|入水口|沙底,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,表层|中下层|底层,10,7,10,20,5,鱼饵,,温和肉食性,
recvq6YNcIHywe,icon_placeholder_0001_2D,#N/A,团头鲂,Megalobrama Amblycephala,Wuchang Bream,15,温水,10,20,2.5,0.1,开放水域|水草|湾子|泥底|浅滩|芦苇,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,表层|中下层|底层,10,7,10,20,5,昆虫|鱼饵,,植食性,
recvq6YNcIYYRG,icon_placeholder_0001_2D,#N/A,圆吻鲴,Distoechodon Tumirostris,Distoechodon Tumirostris,22,温水,17,27,6,0.1,开放水域|石头|湾子|碎石底|浅滩|入水口,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,20,10,昆虫|鱼饵,,腐食性,
recvq6YNcIciHF,icon_placeholder_0001_2D,#N/A,圆腹雅罗鱼,Leuciscus Idus,Ide,12,冷水,4,20,4,0.1,开放水域|石头|湾子|碎石底|浅滩|入水口,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,15,昆虫|甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|VIB,温和肉食性,variable
recvq6YNcIn0wK,icon_placeholder_0001_2D,#N/A,土鲶,Silurus Asotus,Amur Catfish,15,广温,5,25,5,0.1,沉木|深坑|断层|湾子|泥底|入水口,淡水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,,,饵鱼,T尾|卷尾|软虫|VIB|嘈杂饵,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcIlC4j,icon_placeholder_0001_2D,#N/A,大口鲶,Silurus Meridionalis,Chinese Largemouth Catfish,22,温水,17,27,6,0.1,沉木|深坑|断层|湾子|泥底|入水口,淡水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,,,鱼饵,T尾|卷尾|软虫|VIB|嘈杂饵,凶猛肉食性,
recvq6YNcIeP9O,icon_placeholder_0001_2D,#N/A,大青鲨,Pangasius Sanitwongsei,Paroon Shark,26,暖水,20,32,5,0.1,开放水域|沉木|深坑|断层|泥底|入水口,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,甲壳|饵鱼,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcIOtJO,icon_placeholder_0001_2D,#N/A,大鳍𫚪,Acheilognathus Macropterus,Largefin Bitterling,20,温水,15,25,2.5,0.1,开放水域|水草|湾子|泥底|浅滩|芦苇,淡水|半咸水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,鱼饵,,杂食性,
recvq6YNcIw1iu,icon_placeholder_0001_2D,#N/A,大鳞鲃,Luciobarbus Capito,Bulatmai Barbel,15,温水,11,19,8,0.1,开放水域|深坑|湾子|泥底,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,种子|鱼饵|面团|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,杂食性,
recvq6YNcIZ7Ch,icon_placeholder_0001_2D,#N/A,宝石鲈,Scortum Barcoo,Jade Perch,20,广温,10,30,5,0.1,石头|深坑|断层|岩架|碎石底|暗岛,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,鱼饵,,杂食性,
recvq6YNcIkbkA,icon_placeholder_0001_2D,#N/A,宽鳍𫚭,Zacco Platypus,Pale Chub,16,温水,10,22,3,0.1,开放水域|石头|湾子|碎石底|浅滩|入水口,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,种子|甲壳|面团|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,杂食性,variable
recvq6YNcIw0FK,icon_placeholder_0001_2D,#N/A,工程鲫,Carassius Auratus (triploid),Hybrid Crucian Carp,20.5,温水,0,41,10.25,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,20,0,种子|昆虫|甲壳|鱼饵|面团|谷物,,杂食性,
recvq6YNcItRD3,icon_placeholder_0001_2D,#N/A,巨型巴沙,Pangasius Bocourti,Basa Fish,26,暖水,20,32,5,0.1,开放水域|沉木|深坑|断层|泥底|入水口,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,种子|昆虫|甲壳|鱼饵|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,杂食性,
recvq6YNcIZjdG,icon_placeholder_0001_2D,#N/A,巴西鲷,Prochilodus Lineatus,Streaked Prochilod,22,温水,17,27,6,0.1,开放水域|深坑|湾子|泥底|碎石底|入水口|沙底,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,表层|中下层|底层,10,7,10,,5,种子|昆虫|鱼饵|谷物,,腐食性,grazing on aquatic plants
recvq6YNcI7lOw,icon_placeholder_0001_2D,#N/A,广东鲂,Megalobrama Terminalis,Guangdong Bream,17,温水,10,24,3.5,0.1,开放水域|水草|湾子|泥底|浅滩|芦苇,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,昆虫|鱼饵,,植食性,
recvq6YNcILFwW,icon_placeholder_0001_2D,#N/A,斑鳜,Siniperca Scherzeri,Spotted Mandarin Fish,15,温水,11,19,8,0.1,水草|石头|沉木|断层|湾子|碎石底|浅滩|入水口,淡水|半咸水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,甲壳,T尾|卷尾|软虫|米诺|勺子亮片|VIB,凶猛肉食性,
recvq6YNcIWisp,icon_placeholder_0001_2D,#N/A,暹罗巨鲤,Catlocarpio Siamensis,Giant Barb,26,温水,20,32,5,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,种子|甲壳|面团|谷物|饵鱼,,植食性,variable
recvq6YNcIVZWx,icon_placeholder_0001_2D,#N/A,杂交鲟,Acipenser Schrenckii X Huso Dauricus,Hybrid Sturgeon,15,温水,10,20,2.5,0.1,深坑|断层|泥底|碎石底|入水口|出水口|沙底,,,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,昆虫|鱼饵|鱼卵,,温和肉食性,
recvq6YNcIMyMX,icon_placeholder_0001_2D,#N/A,柳根鱼,Rhynchocypris Lagowskii,Amur Minnow,18,温水,16,20,1,0.1,开放水域|石头|湾子|碎石底|浅滩|入水口,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,昆虫|鱼饵,,杂食性,
recvq6YNcI44ye,icon_placeholder_0001_2D,#N/A,欧洲巨鲶,Silurus Glanis,Wels Catfish,12,冷水,4,20,4,0.1,沉木|深坑|断层|湾子|泥底|入水口,淡水|半咸水,benthopelagic,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,中下层|底层,1,7,10,30,0,昆虫|甲壳|鱼饵|鱼卵|肉饵|饵鱼|内脏,T尾|卷尾|软虫|VIB|嘈杂饵,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcIOZP9,icon_placeholder_0001_2D,#N/A,江黄颡,Tachysurus Vachellii,Darkbarbel Catfish,22,温水,17,27,6,0.1,水草|沉木|深坑|湾子|泥底|碎石底|浅滩|芦苇|入水口,淡水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,,,鱼饵,T尾|卷尾|软虫|VIB|嘈杂饵,温和肉食性,
recvq6YNcI8WeG,icon_placeholder_0001_2D,#N/A,沙塘鳢,Odontobutis Obscura,Dark Sleeper,15,温水,11,19,8,0.1,水草|沉木|深坑|湾子|泥底|浅滩|芦苇,,,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,,,鱼饵,T尾|卷尾|软虫|米诺|勺子亮片|VIB,凶猛肉食性,
recvq6YNcItDBI,icon_placeholder_0001_2D,#N/A,泰鲮,Labeo Rohita,Rohu,26,温水,20,32,5,0.1,开放水域|深坑|湾子|泥底|碎石底|入水口|沙底,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,表层|中下层|底层,10,7,10,,5,种子|面团|谷物,,植食性,grazing on aquatic plants
recvq6YNcIxBzV,icon_placeholder_0001_2D,#N/A,海鲈,Lateolabrax Maculatus,Japanese Seabass,22.4,温水,17.4,27.4,6,0.1,水草|石头|沉木|断层|湾子|浅滩,,,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,表层|中下层|底层,10,7,10,,5,昆虫|甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|勺子亮片|VIB,凶猛肉食性,
recvq6YNcIhhiO,icon_placeholder_0001_2D,#N/A,淡水白鲳,Piaractus Brachypomus,Red-bellied Pacu,25.5,暖水,23,28,1.25,0.1,开放水域|水草|沉木|湾子|泥底|浅滩|入水口,淡水,pelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,,,种子|昆虫|鱼饵|面团|谷物|水果,,植食性,other
recvq6YNcIXBRa,icon_placeholder_0001_2D,#N/A,淡水石斑,Parachromis Managuensis,Jaguar Cichlid,30.5,暖水,25,36,2.75,0.1,水草|石头|沉木|断层|湾子|浅滩,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,表层|中下层|底层,10,7,10,10,3,鱼饵|饵鱼,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcID5fB,icon_placeholder_0001_2D,#N/A,湄公鲶,Pangasianodon Gigas,Mekong Giant Catfish,26,暖水,20,32,5,0.1,开放水域|沉木|深坑|断层|泥底|入水口,淡水,benthopelagic,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,中下层|底层,1,7,10,,,种子|昆虫|谷物,,植食性,other
recvq6YNcIOd57,icon_placeholder_0001_2D,#N/A,湘华鲮,Sinilabeo Decorus Tungting,Decoris Labeo,22,温水,17,27,6,0.1,开放水域|深坑|湾子|泥底|碎石底|入水口|沙底,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,昆虫|鱼饵,,腐食性,
recvq6YNcIvxdV,icon_placeholder_0001_2D,#N/A,笋壳鱼,Oxyeleotris Marmorata,Marble Goby,25,暖水,22,28,1.5,0.1,水草|沉木|深坑|湾子|泥底|浅滩|芦苇,淡水|半咸水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,,10,昆虫|甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcINNjg,icon_placeholder_0001_2D,#N/A,红罗非,Oreochromis Sp. (hybrid),Red Tilapia,27.5,暖水,20,35,3.75,0.1,开放水域,,,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中层|中下层,4,10,7,,,种子|昆虫|甲壳|鱼饵|谷物,,杂食性,
recvq6YNcIoSVf,icon_placeholder_0001_2D,#N/A,细鳞鲑,Brachymystax Lenok,Sharp Snouted Lenok,15,冷水,11,19,8,0.1,开放水域|石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,,昆虫|甲壳|鱼卵|肉饵|饵鱼|内脏,软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcIjOcP,icon_placeholder_0001_2D,#N/A,罗非鱼,Oreochromis Niloticus,Nile Tilapia,23.25,广温,13.5,33,4.88,0.1,开放水域|深坑|湾子|泥底,淡水|半咸水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,20,0,种子|昆虫|甲壳|鱼饵|谷物,,植食性,browsing on substrate
recvq6YNcIeBRp,icon_placeholder_0001_2D,#N/A,翘嘴红鲌,Culter Alburnus,Topmouth Culter,15,温水,11,19,8,0.1,开放水域|断层|湾子|入水口|出水口|暗岛,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,甲壳,T尾|卷尾|软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,
